1222,0
93,249
1157,0
61,207
1223,0
66,171
1191,0
101,280
1196,0
80,1323
1183,0
114,1140
1209,0
73,301
1221,0
69,228
1178,0
84,385
1212,0
65,508
1194,0
68,384
1166,0
95,771
1187,0
54,750
1156,0
78,450
1212,0
48,673
1180,0
77,341
1224,0
54,746
1210,0
49,464
1165,0
84,588
1156,0
88,381
1200,0
99,683
1198,0
74,650
1187,0
80,610
1184,0
67,313
1218,0
107,401
1228,0
73,427
1179,0
105,234
1176,0
93,206
1193,0
62,288
1233,0
84,452
1193,0
94,525
1221,0
60,549
1202,0
77,428
1230,0
110,364
1206,0
134,671
1228,0
48,502
1201,0
98,474
1218,0
80,427
1193,0
105,134
1239,0
77,249
1208,0
72,578
1220,0
90,952
1231,0
75,363
1209,0
85,202
1158,0
88,325
1183,0
81,281
1197,0
100,341
1166,0
56,350
1221,0
47,294
1188,0
73,360
1222,0
93,249
1251,0
72,291
1199,0
79,426
1200,0
88,157
1180,0
77,744
1200,0
101,752
1229,0
59,324
1199,0
80,328
1221,0
80,214
1166,0
99,262
1197,0
57,582
1212,0
67,332
1146,0
72,290
1188,0
65,467
1195,0
96,321
1192,0
127,167
1213,0
60,252
1226,0
98,301
1237,0
85,149
1209,0
47,419
1198,0
44,1188
1192,0
88,335
1184,0
91,633
1190,0
68,303
1192,0
99,480
1192,0
44,541
1164,0
92,353
1246,0
108,432
1187,0
108,230
1212,0
43,539
1221,0
85,409
1194,0
57,305
1207,0
68,198
1160,0
72,380
1201,0
77,348
1195,0
68,335
1223,0
82,108
1178,0
84,285
1221,0
98,573
1191,0
117,305
1172,0
66,334
1194,0
86,316
1198,0
54,385
1206,0
91,321
1226,0
73,284
1204,0
102,208
1182,0
94,215
1168,0
91,706
1187,0
87,401
1199,0
83,183
1195,0
56,248
1168,0
96,156
1210,0
82,914
1157,0
63,405
1211,0
54,445
1188,0
96,292
1182,0
83,244
1238,0
80,375
1227,0
91,481
1224,0
60,612
1190,0
73,370
1177,0
103,273
1167,0
83,372
1188,0
102,507
1208,0
81,480
1222,0
93,249
1222,0
90,276
1200,0
40,417
1260,0
