1222,0
93,249
1174,0
73,408
1206,0
94,375
1260,0
95,866
1180,0
53,274
1212,0
66,371
1217,0
54,479
1195,0
49,777
1193,0
111,445
1200,0
108,173
1200,0
105,303
1186,0
61,472
1207,0
46,264
1214,0
94,220
1201,0
85,547
1186,0
101,645
1176,0
57,300
1176,0
81,326
1182,0
66,572
1199,0
103,400
1174,0
93,927
1219,0
49,594
1168,0
70,471
1195,0
72,555
1178,0
101,685
1168,0
73,471
1219,0
73,257
1231,0
116,135
1215,0
91,183
1154,0
70,255
1182,0
63,457
1204,0
64,645
1216,0
96,224
1207,0
88,463
1173,0
100,320
1226,0
80,659
1172,0
54,361
1182,0
45,673
1170,0
101,426
1219,0
85,1135
1187,0
114,130
1189,0
98,459
1232,0
69,1419
1170,0
55,524
1190,0
91,325
1205,0
45,463
1219,0
72,315
1208,0
51,493
1171,0
95,529
1196,0
76,463
1205,0
80,290
1161,0
73,274
1216,0
85,690
1143,0
67,571
1218,0
79,240
1202,0
79,312
1213,0
72,240
1233,0
84,358
1173,0
70,608
1217,0
114,471
1155,0
86,326
1225,0
84,262
1176,0
75,369
1186,0
71,650
1200,0
101,416
1190,0
82,368
1195,0
75,583
1191,0
75,300
1211,0
97,333
1202,0
148,1102
1196,0
94,229
1226,0
88,212
1189,0
64,324
1171,0
66,272
1220,0
112,350
1187,0
57,292
1162,0
91,862
1209,0
78,413
1164,0
78,322
1219,0
60,456
1188,0
89,408
1218,0
70,282
1204,0
61,364
1201,0
71,249
1216,0
81,741
1240,0
76,518
1204,0
58,543
1195,0
54,457
1174,0
99,476
1189,0
95,874
1201,0
65,501
1220,0
66,431
1205,0
89,218
1214,0
62,371
1201,0
92,477
1193,0
83,262
1159,0
80,417
1194,0
104,778
1182,0
87,299
1203,0
37,507
1205,0
92,195
1135,0
103,167
1206,0
65,826
1176,0
85,417
1196,0
81,151
1167,0
60,200
1200,0
68,743
1212,0
63,1133
1200,0
74,182
1174,0
101,549
1149,0
106,226
1243,0
105,369
1209,0
77,116
1170,0
82,465
1186,0
135,505
1147,0
108,247
1210,0
66,1254
1189,0
79,547
1215,0
